,Unnamed: 0,Title,areaname,Price,Area,Avg Price,facing,Bedrooms,Bathrooms,Balcony,Connectivity,Neighbourhood,Safety,Livability,furnishing
45,45,10 BHK Independent House,"Individual Project, CIT Colony, Mylapore, Chennai",225000000.0,12700.0,17720.0,West,10,10,5,4.2,4.2,4.4483870967741925,4.2,Fully Furnished
46,46,3 BHK Independent House,"Balaji Nagar, Royapettah, Chennai",35000000.0,1200.0,29170.0,North,3,3,0,4.4638888888888895,4.3,4.4483870967741925,3.8,Unfurnished
47,47,4 BHK Independent House,"Aspiran Garden Colony, Kilpauk, Chennai",105000000.0,7500.0,14000.0,North,4,4,2,4.2,4.3,4.5,4.4,Semi furnished
48,48,4 BHK Independent House,"Aspiran Garden Colony, Kilpauk, Chennai",77000000.0,3100.0,24840.0,East,4,4,2,4.2,4.3,4.5,4.4,Semi furnished
49,49,4 BHK Independent House,"Individual Duplex House, Nehru Nagar, Saligramam, Chennai",30000000.0,2300.0,13040.0,East,4,4,2,4.5,4.5,4.5,4.5,Unfurnished
50,50,10 BHK Independent House,"Individual Project, CIT Colony, Mylapore, Chennai",225000000.0,12700.0,17720.0,West,10,10,5,4.2,4.2,4.4483870967741925,4.2,Semi furnished
51,51,3 BHK Independent House,"Own cons, Mylapore, Chennai",45000000.0,3600.0,12500.0,East,3,4,4,4.2,4.2,4.4483870967741925,4.2,Unfurnished
52,52,3 BHK Independent House,"Mylapore, Chennai",19000000.0,705.0,26950.0,North,3,3,0,4.2,4.2,4.4483870967741925,4.2,Fully Furnished
53,53,4 BHK Independent House,"PNK Garden, Mylapore, Chennai",60000000.0,2400.0,25000.0,West,4,4,3,4.2,4.2,4.4483870967741925,4.2,Semi furnished
54,54,6 BHK Independent House,"Rangaiah Garden, Mylapore, Chennai",30000000.0,2150.0,13950.0,West,6,4,1,4.2,4.2,4.4483870967741925,4.2,Unfurnished
55,55,8 BHK Independent House,"Teeds Garden, Perambur, Chennai",23000000.0,2500.0,9200.0,South,8,8,0,4.4,4.5,4.2,4.5,Fully Furnished
56,56,3 BHK Independent House,"On demand, Gopalapuram, Perambur, Chennai",14900000.0,1828.0,8150.0,West,3,3,2,4.4,4.5,4.2,4.5,Fully Furnished
57,57,2 BHK Independent House,"Jawahar Nagar, Perambur, Chennai",3500000.0,990.0,3540.0,South-East,2,2,1,4.4,4.5,4.2,4.5,Fully Furnished
58,58,9 BHK Independent House,"Teeds Garden, Perambur, Chennai",27000000.0,4000.0,6750.0,South,9,6,2,4.4,4.5,4.2,4.5,Unfurnished
59,59,3 BHK Independent House,"Teeds Garden, Perambur, Chennai",8900000.0,1500.0,5930.0,North,3,3,1,4.4,4.5,4.2,4.5,Semi furnished
60,60,2 BHK Independent House,"On demand, Gopalapuram, Perambur, Chennai",14900000.0,1828.0,8150.0,West,2,3,2,4.4,4.5,4.2,4.5,Unfurnished
61,61,3 BHK Flat,By CASAGRAND BUILDER PRIVATE LIMITED,24300000.0,1733.0,14000.0,North-West,3,3,1,4.3,4.445833333333333,4.4483870967741925,4.443055555555556,Semi furnished
62,62,4 BHK Independent House,"Malangananda Puram, Pallavaram, Meenambakkam",23300000.0,2800.0,8330.0,East,4,4,3,4.4,4.445833333333333,3.9,4.1,Fully Furnished
63,63,2 BHK Independent House,"Malangananda Puram, Pallavaram, Meenambakkam",6000000.0,1000.0,6000.0,West,2,2,1,4.4,4.445833333333333,3.9,4.1,Semi furnished
64,64,2 BHK Independent House,"MLT promoters, Tharapakkam, Chennai",7500000.0,1350.0,5550.0,South-West,2,3,1,4.5,4.5,4.5,4.5,Semi furnished
65,65,3 BHK Independent House,"Bharathi Nagar, Thandalam, Chennai",9500000.0,1650.0,5760.0,East,3,3,1,4.4638888888888895,4.445833333333333,4.4483870967741925,4.443055555555556,Unfurnished
66,66,2 BHK Independent House,"MLT promoters, Thandalam, Chennai",7500000.0,1350.0,5550.0,North-East,2,3,1,4.4638888888888895,4.445833333333333,4.4483870967741925,4.443055555555556,Semi furnished
67,67,4 BHK Independent House,"Ambattur, Chennai",27500000.0,3000.0,9170.0,North,4,4,2,4.7,4.6,4.6,4.5,Unfurnished
68,68,4 BHK Independent House,"Annanur, Sri Sakthi Nagar, Chennai",9500000.0,2000.0,4750.0,North-West,4,5,0,4.4638888888888895,4.445833333333333,4.4483870967741925,4.443055555555556,Semi furnished
69,69,2 BHK Independent House,"Kallikuppam, Ambattur, Chennai",3500000.0,600.0,5830.0,North,2,2,0,4.7,4.6,4.6,4.5,Fully Furnished
70,70,2 BHK Independent House,"Ambattur, Chennai",4100000.0,860.0,4770.0,North-East,2,2,1,4.7,4.6,4.6,4.5,Fully Furnished
71,71,3 BHK Independent House,"Ambattur, Chennai",10000000.0,1500.0,6670.0,South,3,3,1,4.7,4.6,4.6,4.5,Unfurnished
72,72,2 BHK Independent House,"Kallikuppam, Ambattur, Chennai",5500000.0,950.0,5790.0,North,2,2,2,4.7,4.6,4.6,4.5,Semi furnished
73,73,2 BHK Flat,"On demand, Secretariat Colony, Kilpauk, Chennai",14700000.0,979.0,15000.0,South-East,2,2,1,4.2,4.3,4.5,4.4,Unfurnished
74,74,Residential Plot,"Kellys, Secretariat Colony, Kilpauk, Chennai",85000000.0,4050.0,20990.0,West,3,3,0,4.2,4.3,4.5,4.4,Unfurnished
75,75,3 BHK Flat,"raj enclave, Secretariat Colony, Kilpauk, Chennai",25300000.0,1730.0,14620.0,East,3,3,3,4.2,4.3,4.5,4.4,Unfurnished
76,76,2 BHK Flat,"On demand, Secretariat Colony, Kilpauk, Chennai",15900000.0,1060.0,15000.0,North-East,2,2,1,4.2,4.3,4.5,4.4,Semi furnished
77,77,2 BHK Flat,"On demand, Secretariat Colony, Kilpauk, Chennai",15600000.0,1042.0,15000.0,North-West,2,2,1,4.2,4.3,4.5,4.4,Fully Furnished
78,78,7 BHK Independent House,"Balaji Nagar, Royapettah, Chennai",160000000.0,6000.0,26670.0,North,7,7,2,4.4638888888888895,4.3,4.4483870967741925,3.8,Fully Furnished
79,79,3 BHK Independent House,"Balaji Nagar, Royapettah, Chennai",35000000.0,1200.0,29170.0,North,3,3,0,4.4638888888888895,4.3,4.4483870967741925,3.8,Unfurnished
